Dia Semana,Data,Atendimento,Demandante,Atuação,Modelo,Sem OS,Com OS,KM Terrestre,KM Aéreo,Preventiva,Corretiva,Instalacao,Treinamento,Viagem,Cidade,UF,Folga Trabalhada,Papelada,Plantao,Cod. IBGE UF,Cod. IBGE Cidade,Ano,Mes,MesNome
Sexta,01/01/2021,Feriado Ano Novo,0,Feriado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Sábado,02/01/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Domingo,03/01/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Segunda,04/01/2021,C 8290 Santos Brasil Alemoa (Ranan),Ranan,Trabalhado,FS6000,0,1,175,0,0,1,0,0,0,Santos,SP,0,0,0,35,3548500,2021,1,Janeiro
Terça,05/01/2021,Relatório complementar C 8290,Ranan,Trabalhado,FS6000,1,0,0,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Quarta,06/01/2021,exame periódico (Débora) / Correios  vistoria guindaste (Hugo)  /  C 8305 Fórum João Mendes (Diego),Diego,Trabalhado,CX6040BI,2,1,124,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Quinta,07/01/2021,treinamento fábrica Simulacro ETD (Diego) / C8311 Romão Gomes (Bruno),Diego,Trabalhado,HT2100DV,1,1,133,0,0,1,0,1,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Sexta,08/01/2021,Folga Plantão,0,Folga Plantão,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Sábado,09/01/2021,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2021,1,Janeiro
Domingo,10/01/2021,Plantão + ida VCP a SDU (RJ),Plantão,Trabalhado,,2,0,260,408,0,0,0,0,1,Rio de Janeiro,RJ,0,0,1,33,3304557,2021,1,Janeiro
Segunda,11/01/2021,treinamento Correios RJ (Diego),Diego,Trabalhado,CX100100D,1,0,27,0,0,0,0,1,1,Rio de Janeiro,RJ,0,0,0,33,3304557,2021,1,Janeiro
Terça,12/01/2021,treinamento Correios RJ (Diego),Diego,Trabalhado,CX100100D,1,0,27,0,0,0,0,1,1,Rio de Janeiro,RJ,0,0,0,33,3304557,2021,1,Janeiro
Quarta,13/01/2021,treinamento Correios RJ (Diego) + C8369 P8368 Justiça Federal RJ (Walter),Diego,Trabalhado,CX5030T,1,2,50,0,1,1,0,1,1,Rio de Janeiro,RJ,0,0,0,33,3304557,2021,1,Janeiro
Quinta,14/01/2021,Apoio RJ (Diego) + C8377 Justiça trabalho RJ (Walter),Diego,Trabalhado,CX6040BI,0,1,20,0,0,1,0,0,1,Rio de Janeiro,RJ,0,0,0,33,3304557,2021,1,Janeiro
Sexta,15/01/2021,Apoio RJ (Diego) + volta GIG a GRU (SP),Diego,Trabalhado,CX100100D,1,0,100,338,0,0,0,0,1,Rio de Janeiro,RJ,0,0,0,33,3304557,2021,1,Janeiro
Sábado,16/01/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Domingo,17/01/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Segunda,18/01/2021,Papelada,Bruno,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,1,0,35,3550308,2021,1,Janeiro
Terça,19/01/2021,,0,Sem atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Quarta,20/01/2021,,0,Sem atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Quinta,21/01/2021,C8454 Santos Brasil Alemoa (Ranan),Ranan,Trabalhado,FS6000,0,1,180,0,0,1,0,0,0,Santos,SP,0,0,0,35,3548500,2021,1,Janeiro
Sexta,22/01/2021,,0,Sem atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Sábado,23/01/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Domingo,24/01/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Segunda,25/01/2021,Feriado Aniversário SP,0,Feriado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,1,Janeiro
Terça,26/01/2021,voo ida Paranaguá GRU - CWB,Ranan,Trabalhado,,1,0,140,359,0,0,0,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,1,Janeiro
Quarta,27/01/2021,ônibus + Obra Paranaguá,Ranan,Trabalhado,FS6000,2,0,90,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,1,Janeiro
Quinta,28/01/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,1,Janeiro
Sexta,29/01/2021,folga plantão + Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,1,0,0,41,4118204,2021,1,Janeiro
Sábado,30/01/2021,Plantão,Plantão,Trabalhado,,1,0,10,0,0,0,0,0,1,Paranaguá,PR,0,0,1,41,4118204,2021,1,Janeiro
Domingo,31/01/2021,Plantão,Plantão,Trabalhado,,1,0,10,0,0,0,0,0,1,Paranaguá,PR,0,0,1,41,4118204,2021,1,Janeiro
Segunda,01/02/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Terça,02/02/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Quarta,03/02/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Quinta,04/02/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
